postcodes,latitude,longitude
B1 1XL,52.4814,-1.8998
B1 2JB,52.4814,-1.8998
B1 2JF,52.4814,-1.8998
B1 3HN,52.4814,-1.8998
B10 0HH,52.4698,-1.8523
B10 0XA,52.4698,-1.8523
B11 4AR,52.4548,-1.8596
B12 9AT,52.4814,-1.8998
B12 9BS,52.4814,-1.8998
B13 0AW,52.4469,-1.88385
B13 0HW,52.4469,-1.88385
B13 0JD,52.4469,-1.88385
B13 8HS,52.4469,-1.88385
B13 8LJ,52.4469,-1.88385
B13 8PG,52.4469,-1.88385
B14 4BW,52.4174,-1.8898
B14 4NX,52.4174,-1.8898
B14 4PJ,52.4174,-1.8898
B14 5TN,52.4174,-1.8898
B14 6EB,52.4174,-1.8898
B14 7BW,52.4174,-1.8898
B14 7LB,52.4174,-1.8898
B14 7NH,52.4174,-1.8898
B14 7PT,52.4174,-1.8898
B14 7QU,52.4174,-1.8898
B14 7SR,52.4174,-1.8898
B15 2DY,52.4623,-1.9212
B15 2LJ,52.4623,-1.9212
B15 2TT,52.4623,-1.9212
B15 2TU,52.4623,-1.9212
B16 8HA,52.4768,-1.9341
B16 8PE,52.4768,-1.9341
B16 8RP,52.4768,-1.9341
B17 8DJ,52.4585,-1.9573
B17 9NJ,52.4585,-1.9573
B17 9NS,52.4585,-1.9573
B17 9PP,52.4585,-1.9573
B17 9QG,52.4585,-1.9573
B18 6BB,52.4814,-1.8998
B18 7BH,52.4814,-1.8998
B18 7HR,52.4814,-1.8998
B18 7QY,52.4814,-1.8998
B2 4SH,52.4814,-1.8998
B2 4SJ,52.4814,-1.8998
B2 5AE,52.4814,-1.8998
B20 2EP,52.5156,-1.9195
B21 9QX,52.5064,-1.9406
B21 9RR,52.5064,-1.9406
B21 9SF,52.5064,-1.9406
B23 5TW,52.5282,-1.8549
B23 6RS,52.5282,-1.8549
B23 7DS,52.5282,-1.8549
B23 7NR,52.5282,-1.8549
B23 7RT,52.5282,-1.8549
B24 0PP,52.5194,-1.8090000000000002
B24 8LY,52.5194,-1.8090000000000002
B24 8NQ,52.5194,-1.8090000000000002
B24 9FD,52.5194,-1.8090000000000002
B24 9PJ,52.5194,-1.8090000000000002
B25 8DL,52.4636,-1.82275
B25 8LP,52.4636,-1.82275
B25 8LW,52.4636,-1.82275
B25 8YP,52.4636,-1.82275
B26 1AD,52.456,-1.7873333333333334
B26 1DT,52.456,-1.7873333333333334
B26 3DY,52.456,-1.7873333333333334
B26 3JP,52.456,-1.7873333333333334
B26 3PD,52.456,-1.7873333333333334
B26 3YH,52.456,-1.7873333333333334
B27 6BH,52.4447,-1.8229
B27 6RA,52.4447,-1.8229
B27 7AJ,52.4447,-1.8229
B27 7AR,52.4447,-1.8229
B27 7NS,52.4447,-1.8229
B27 7PS,52.4447,-1.8229
B27 7RR,52.4447,-1.8229
B27 7RS,52.4447,-1.8229
B27 7US,52.4447,-1.8229
B28 0LG,52.4272,-1.8432
B28 8AB,52.4272,-1.8432
B28 8QT,52.4272,-1.8432
B28 9EF,52.4272,-1.8432
B29 5PT,52.4393,-1.9402
B29 5QL,52.4393,-1.9402
B29 5UJ,52.4393,-1.9402
B29 6BA,52.4393,-1.9402
B29 6BD,52.4393,-1.9402
B29 6BE,52.4393,-1.9402
B29 6SJ,52.4393,-1.9402
B29 6TL,52.4393,-1.9402
B3 1PW,52.4814,-1.8998
B3 1RU,52.4814,-1.8998
B3 2BJ,52.4814,-1.8998
B3 2QD,52.4814,-1.8998
B3 3BA,52.4814,-1.8998
B30 1JA,52.4167,-1.9167
B30 1PA,52.4167,-1.9167
B30 2JX,52.4167,-1.9167
B30 2XU,52.4167,-1.9167
B30 2YY,52.4167,-1.9167
B30 3AS,52.4167,-1.9167
B31 2JX,52.4167,-1.975
B31 2NG,52.4167,-1.975
B31 2NN,52.4167,-1.975
B31 2TW,52.4167,-1.975
B31 3JW,52.4167,-1.975
B31 3LD,52.4167,-1.975
B31 3SH,52.4167,-1.975
B31 3TG,52.4167,-1.975
B31 3UB,52.4167,-1.975
B31 4BL,52.4167,-1.975
B31 5AA,52.4167,-1.975
B31 5NJ,52.4167,-1.975
B32 1EG,52.4167,-1.99735
B32 2AL,52.4167,-1.99735
B32 2DX,52.4167,-1.99735
B32 2LT,52.4167,-1.99735
B32 2RE,52.4167,-1.99735
B32 3ES,52.4167,-1.99735
B32 4EY,52.4167,-1.99735
B33 0AP,52.4804,-1.7883
B33 0ND,52.4804,-1.7883
B33 0NG,52.4804,-1.7883
B33 0QY,52.4804,-1.7883
B33 8BA,52.4804,-1.7883
B33 8NF,52.4804,-1.7883
B33 8UE,52.4804,-1.7883
B33 9AN,52.4804,-1.7883
B34 7AZ,52.4963,-1.7818
B34 7EH,52.4963,-1.7818
B35 6HB,52.5188,-1.7891
B35 7PR,52.5188,-1.7891
B36 0BU,52.5019,-1.7826
B36 0BX,52.5019,-1.7826
B36 0JG,52.5019,-1.7826
B36 0JH,52.5019,-1.7826
B36 0LB,52.5019,-1.7826
B36 0UG,52.5019,-1.7826
B36 8BL,52.5019,-1.7826
B36 8BQ,52.5019,-1.7826
B36 8DT,52.5019,-1.7826
B36 8TY,52.5019,-1.7826
B36 9AD,52.5019,-1.7826
B36 9EJ,52.5019,-1.7826
B37 5AJ,52.4685,-1.7482
B37 5BT,52.4685,-1.7482
B37 5EX,52.4685,-1.7482
B37 5TL,52.4685,-1.7482
B37 5TP,52.4685,-1.7482
B37 6BB,52.4685,-1.7482
B37 6RD,52.4685,-1.7482
B37 6RX,52.4685,-1.7482
B38 8NA,52.3999,-1.9349
B38 8SD,52.3999,-1.9349
B38 9BL,52.3999,-1.9349
B4 6BS,52.4814,-1.8998
B4 6TB,52.4814,-1.8998
B4 7DT,52.4814,-1.8998
B4 7ET,52.4814,-1.8998
B4 7SS,52.4814,-1.8998
B42 1AA,52.5158,-1.9017
B42 1AB,52.5158,-1.9017
B42 1EZ,52.5158,-1.9017
B42 1NN,52.5158,-1.9017
B43 5EL,52.5459,-1.9319
B43 5EY,52.5459,-1.9319
B43 7AP,52.5459,-1.9319
B43 7BN,52.5459,-1.9319
B43 7EJ,52.5459,-1.9319
B43 7HA,52.5459,-1.9319
